Q1,Q2,Q3,Q4,Q5,Q6,Q8,Q9_Part_1,Q9_Part_2,Q9_Part_3,Q9_Part_4,Q9_Part_5,Q9_Part_6,Q9_Part_7,Q9_Part_8,Q10,Q11,Q13_Part_1,Q13_Part_2,Q13_Part_3,Q13_Part_4,Q13_Part_5,Q13_Part_6,Q13_Part_7,Q13_Part_8,Q13_Part_9,Q13_Part_10,Q13_Part_11,Q13_Part_12,Q14,Q14_Part_1_TEXT,Q14_Part_2_TEXT,Q14_Part_3_TEXT,Q14_Part_4_TEXT,Q14_Part_5_TEXT,Q14_OTHER_TEXT,Q15,Q16_Part_1,Q16_Part_2,Q16_Part_3,Q16_Part_4,Q16_Part_5,Q16_Part_6,Q16_Part_7,Q16_Part_8,Q16_Part_9,Q16_Part_10,Q18_Part_1,Q18_Part_2,Q18_Part_3,Q18_Part_4,Q18_Part_5,Q18_Part_6,Q18_Part_7,Q18_Part_8,Q18_Part_9,Q18_Part_10,Q19,Q20_Part_1,Q20_Part_2,Q20_Part_3,Q20_Part_4,Q20_Part_5,Q20_Part_6,Q20_Part_7,Q20_Part_8,Q20_Part_9,Q20_Part_10,Q21_Part_1,Q23,Q24_Part_1,Q24_Part_2,Q24_Part_3,Q24_Part_4,Q24_Part_5,Q24_Part_6,Q24_Part_7,Q24_Part_8,Q24_Part_9,Q24_Part_10,Q25_Part_1,Q25_Part_2,Q25_Part_3,Q25_Part_4,Q25_Part_5,Q25_Part_6,Q25_Part_7,Q25_Part_8,Q26_Part_1,Q26_Part_2,Q26_Part_3,Q26_Part_4,Q26_Part_5,Q27_Part_1,Q27_Part_2,Q27_Part_3,Q27_Part_4,Q28_Part_1,Q28_Part_2,Q28_Part_3,Q28_Part_4,Q28_Part_5,Q28_Part_6,Q28_Part_7,Q28_Part_8,Q28_Part_9,Q28_Part_10,Q29_Part_1,Q29_Part_2,Q29_Part_3,Q29_Part_4,Q29_Part_5,Q29_Part_6,Q29_Part_7,Q29_Part_8,Q29_Part_9,Q29_Part_10,Q34_Part_1,Q34_Part_2,Q34_Part_3,Q34_Part_4,Q34_Part_5,Q34_Part_6,Q34_Part_7,Q34_Part_8,Q34_Part_9,Q34_Part_10
55-59,Male,United States of America,Bachelors degree,Other,250-999 employees,No (we do not use ML methods),,,,,,,,,"150,000-199,999",$0 (USD),,Coursera,,DataCamp,,,,,,University Courses (resulting in a university degree),,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,192,-1,-1,< 1 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",,,,,,,,,  Sublime Text  ,Python,,,,,,,,,,Python,, Matplotlib ,,,,,, Seaborn ,,,,< 1 years,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-34,Male,United States of America,Masters degree,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)",,,,,,Do research that advances the state of the art of machine learning,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-34,Male,United States of America,Masters degree,Other,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)",,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-49,Male,United States of America,Masters degree,Software Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-29,Male,United States of America,Bachelors degree,Software Engineer,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)",,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-21,Female,United States of America,Bachelors degree,Student,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-49,Male,United States of America,Masters degree,Business Analyst,"> 10,000 employees",I do not know,,,,,,,,,"50,000-59,999",$0 (USD),,,,DataCamp,,Kaggle Courses (i.e. Kaggle Learn),,Udemy,,,,Other,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",-1,-1,256,-1,-1,-1,I have never written code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-29,Male,United States of America,Bachelors degree,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)",,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,,"100,000-124,999",$100-$999,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-59,Male,United States of America,Masters degree,Software Engineer,"> 10,000 employees",No (we do not use ML methods),,,,,,,,,"125,000-149,999",$0 (USD),,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-34,Male,United States of America,Masters degree,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,,"80,000-89,999","$1000-$9,999",Udacity,Coursera,edX,DataCamp,,Kaggle Courses (i.e. Kaggle Learn),,Udemy,,,,,,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-29,Male,Canada,Bachelors degree,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,,"30,000-39,999",,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-39,Female,United States of America,Masters degree,Data Scientist,"> 10,000 employees",No (we do not use ML methods),,,,,,,,,"100,000-124,999",,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-54,Female,Canada,Masters degree,Data Scientist,0-49 employees,We use ML methods for generating insights (but do not put working models into production),Analyze and understand data to influence product or business decisions,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-59,Male,United States of America,Doctoral degree,Other,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)",Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,,,Other,"100,000-124,999","$1000-$9,999",,,,,,,,,,,None,,"Advanced statistical software (SPSS, SAS, etc.)",-1,270,-1,-1,-1,-1,20+ years,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,20+ years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,,,,"Automated feature engineering/selection (e.g. tpot, boruta_py)","Automated model selection (e.g. auto-sklearn, xcessiv)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Oracle Cloud ,,,,,,,,Oracle Database,,,,,
25-29,Female,Canada,Masters degree,Research Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-54,Male,United States of America,Doctoral degree,Software Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),,,Build prototypes to explore applying machine learning to new areas,,,,,,"125,000-149,999","$1000-$9,999",,Coursera,,,,,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,718,-1,-1,3-5 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",,,,,,,  Vim / Emacs  ,,,Python,,,C,C++,,,,Bash,,Python,, Matplotlib ,,,,,, Seaborn ,,,CPUs,4-5 years,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,"Automated data augmentation (e.g. imgaug, albumentations)",,"Automated model selection (e.g. auto-sklearn, xcessiv)",,,,,,"General purpose image/video tools (PIL, cv2, skimage, etc)",,,"Image classification and other general purpose networks (VGG, Inception, ResNet, ResNeXt, NASNet, EfficientNet, etc)",,"Word embeddings/vectors (GLoVe, fastText, word2vec)","Encoder-decorder models (seq2seq, vanilla transformers)",,,  Scikit-learn ,  TensorFlow , Keras ,, Xgboost , PyTorch ,,,,, Google Cloud Platform (GCP) ,,,,,,,,,,,PostgresSQL,,,,,,,,
18-21,Male,United States of America,Masters degree,Student,,,,,,,,,,,,,,,,,,,,,,University Courses (resulting in a university degree),,,,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-29,Male,United States of America,I prefer not to answer,Business Analyst,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)",,,Build prototypes to explore applying machine learning to new areas,,,,,,"> $500,000","$1000-$9,999",Udacity,Coursera,edX,,,,,Udemy,,,,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",-1,-1,-1,-1,45,-1,3-5 years,,,,,, Visual Studio / Visual Studio Code ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-24,Male,United States of America,Masters degree,Student,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-29,Male,United States of America,Doctoral degree,Research Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)",,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-34,Male,Canada,Bachelors degree,Other,50-249 employees,We use ML methods for generating insights (but do not put working models into production),,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-44,Male,United States of America,Bachelors degree,Data Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,,,,,"100,000-124,999",$0 (USD),,Coursera,edX,DataCamp,,,,,,,,Other,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,2186,-1,-1,10-20 years,,,,,,,  Spyder  ,,,,Python,,SQL,,,,,,,,Python,, Matplotlib ,,,,, Bokeh , Seaborn ,,,CPUs,5-10 years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,,,,,None,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-34,Male,United States of America,Bachelors degree,Data Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)",Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,"125,000-149,999",$1-$99,Udacity,,,DataCamp,,Kaggle Courses (i.e. Kaggle Learn),Fast.ai,Udemy,LinkedIn Learning,University Courses (resulting in a university degree),,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,-1,-1,-1,-1,-1,3-5 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio , PyCharm ,,,,,,,,Python,R,SQL,,,,,,,,Python,, Matplotlib ,,,,,,,,,,1-2 years,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,,,,,None,,,,,,,,,,,,  TensorFlow ,,,,,,,,,, Amazon Web Services (AWS) ,,,,,,,,,MySQL,PostgresSQL,,,Oracle Database,,,,,
25-29,Female,United States of America,Masters degree,Data Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),Analyze and understand data to influence product or business decisions,,,,,,,,"70,000-79,999","$1000-$9,999",,Coursera,,,,,,Udemy,,University Courses (resulting in a university degree),,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,8,-1,-1,3-5 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio ,,,,,,,,,Python,R,,,,,,,,,Python, Ggplot / ggplot2 , Matplotlib ,, Shiny ,, Plotly / Plotly Express ,, Seaborn ,,,CPUs,1-2 years,,,,,,,,,,,,,,,,"Automation of full ML pipelines (e.g. Google AutoML, H20 Driverless AI)",,,,,,,,,,,,  Scikit-learn ,  TensorFlow ,,,,,,,,, Google Cloud Platform (GCP) ,,,,,,,,,,,,,,,,,,,
30-34,Male,United States of America,Doctoral degree,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)",Analyze and understand data to influence product or business decisions,,,,,,,,"100,000-124,999",$100-$999,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-44,Male,United States of America,Masters degree,Data Analyst,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)",Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-29,Male,United States of America,Masters degree,Other,"> 10,000 employees",,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-29,Male,United States of America,Masters degree,Other,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)",,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,,"125,000-149,999","$10,000-$99,999",,,,,,,,,,,None,,Other,-1,-1,-1,-1,-1,67,3-5 years,,, PyCharm ,,,,,,,,Python,,,,C++,,,,,,Python,,,,,,,,,,,CPUs,3-4 years,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,,,"Automated data augmentation (e.g. imgaug, albumentations)",,,,,,,,"General purpose image/video tools (PIL, cv2, skimage, etc)",,"Object detection methods (YOLOv3, RetinaNet, etc)",,"Generative Networks (GAN, VAE, etc)",,,,,,  TensorFlow ,,,, PyTorch ,,,,,,,,,,, Oracle Cloud ,,,,,,,,,,,,,
18-21,Male,United States of America,Bachelors degree,Student,,,,,,,,,,,,,,,,,,,,,,University Courses (resulting in a university degree),,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",62,-1,-1,-1,-1,-1,1-2 years,,,,,,,,  Vim / Emacs  ,,,Python,,,C,C++,,,,,MATLAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-44,Male,Canada,Bachelors degree,Data Scientist,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,,,,"60,000-69,999",$100-$999,Udacity,,,,,,,,,University Courses (resulting in a university degree),,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,7,-1,-1,5-10 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",, PyCharm ,,, Visual Studio / Visual Studio Code ,,,,,Python,,SQL,,,,,,Bash,,Python,, Matplotlib ,,,,,, Seaborn ,,,CPUs,4-5 years,,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,,,,,,,,,None,,,"Image segmentation methods (U-Net, Mask R-CNN, etc)","Object detection methods (YOLOv3, RetinaNet, etc)","Image classification and other general purpose networks (VGG, Inception, ResNet, ResNeXt, NASNet, EfficientNet, etc)",,,,,,  Scikit-learn ,  TensorFlow , Keras ,,,,,, Spark MLib ,,, Amazon Web Services (AWS) ,,,,,,,,,,,SQLite,,,,,,,
50-54,Male,United States of America,I prefer not to answer,Not employed,,,,,,,,,,,,,,,edX,,,,,,LinkedIn Learning,,,Other,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,1086,-1,-1,1-2 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",,,, MATLAB ,,,,,,Python,,,,C++,,,,,MATLAB,Python,,,,,,,,,,,,< 1 years,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-39,Female,United States of America,Doctoral degree,Research Scientist,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)",,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,"300,000-500,000","$10,000-$99,999",,,,,,,,,,University Courses (resulting in a university degree),,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,6,-1,-1,10-20 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio ,,,,,,,,  Sublime Text  ,Python,R,,,,,,,,,R, Ggplot / ggplot2 , Matplotlib ,,,,,,,,,CPUs,10-15 years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"Automated model selection (e.g. auto-sklearn, xcessiv)",,,"Automation of full ML pipelines (e.g. Google AutoML, H20 Driverless AI)",,,,,,,,,,,,,,,, Xgboost ,,,,,,, Amazon Web Services (AWS) ,,,,,,,,,,,,,,,,,,
30-34,Male,United States of America,Bachelors degree,Business Analyst,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)",,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-29,Male,United States of America,Masters degree,Software Engineer,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,,"100,000-124,999",$0 (USD),,,,,,,,,,,,Other,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,341,-1,-1,< 1 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",,,,, Visual Studio / Visual Studio Code ,,,,,Python,,,,,,Javascript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-44,Male,United States of America,Masters degree,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)",,,,,,,None of these activities are an important part of my role at work,,"100,000-124,999","> $100,000 ($USD)",,,,,,,,,,University Courses (resulting in a university degree),,,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",-1,-1,2,-1,-1,-1,3-5 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio ,, Atom ,,,,,  Notepad++  ,,Python,R,SQL,,,,,,,,R, Ggplot / ggplot2 , Matplotlib ,,,,,, Seaborn , Geoplotlib ,,CPUs,< 1 years,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-24,Male,United States of America,Bachelors degree,Student,,,,,,,,,,,,,,Coursera,,,,Kaggle Courses (i.e. Kaggle Learn),,,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",704,-1,-1,-1,-1,-1,< 1 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",,,,,,,,,,Python,,,,C++,,,,,,Python,, Matplotlib ,,,,,,,,,CPUs,< 1 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-54,Male,United States of America,Doctoral degree,Other,0-49 employees,We use ML methods for generating insights (but do not put working models into production),,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,"250,000-299,999","$1000-$9,999",,Coursera,edX,,,,Fast.ai,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,2190,-1,-1,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-34,Female,United States of America,Bachelors degree,Other,250-999 employees,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-29,Male,United States of America,Bachelors degree,Data Analyst,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,,"60,000-69,999",$1-$99,,Coursera,edX,DataCamp,,,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,2191,-1,-1,1-2 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio ,,,,,  Spyder  ,,,,Python,R,SQL,,,,,,,,Python, Ggplot / ggplot2 , Matplotlib ,,,,, Bokeh , Seaborn ,,,CPUs,< 1 years,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,,,,,None,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,, Amazon Web Services (AWS) ,,,,,,,,,MySQL,PostgresSQL,SQLite,Microsoft SQL Server,,,,,,
25-29,Female,Canada,Doctoral degree,Research Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-21,Male,Canada,Bachelors degree,Student,,,,,,,,,,,,,,Coursera,edX,,,,Fast.ai,,,University Courses (resulting in a university degree),,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,32,-1,-1,< 1 years,,, PyCharm , Atom , MATLAB ,,,,  Notepad++  ,,Python,,,,,Java,,,,MATLAB,Python,,,,,,,,,,,,< 1 years,Linear or Logistic Regression,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-34,Male,Canada,Doctoral degree,Other,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-69,Male,United States of America,Masters degree,Data Scientist,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-34,Male,United States of America,Masters degree,Data Scientist,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)",Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,,,,"150,000-199,999","$1000-$9,999",Udacity,,,,,,Fast.ai,,,University Courses (resulting in a university degree),,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",-1,-1,-1,-1,78,-1,5-10 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",,,,,,,  Vim / Emacs  ,,  Sublime Text  ,Python,,,,,,,,,,Python,, Matplotlib ,,,,,,,,,CPUs,5-10 years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,,,,,,,,,,Other,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , PyTorch ,, LightGBM ,, Fast.ai ,, Amazon Web Services (AWS) ,,,,,,,,,,,,,,,,,,
30-34,Male,United States of America,Masters degree,Data Scientist,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)",,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
